composer,work,opus_or_catalogue,movement,title,source_archive,source_url_or_reference,download_url,edition_or_editor,publication_year,plate_number,source_file_name,source_file_sha256,source_file_size_bytes,page_range,rights_status,existing_symbolic_format,digitization_required,priority
Sergei Lyapunov,12 Études d'exécution transcendante,Op. 11,1,Berceuse in F-sharp major,Internet Archive / IMSLP,https://archive.org/details/imslp-tudes-dexcution-transcendante-op11-lyapunov-sergey,"https://archive.org/download/imslp-tudes-dexcution-transcendante-op11-lyapunov-sergey/Lyapunov_-_Etudes,_Op.11.pdf",J.H. Zimmermann,1897,Z. 2883,"Lyapunov_-_Etudes,_Op.11.pdf",1083b34ad2e8a972877d8f3da7458d265976ced42377ad33efe14ad11157beb0,17210082,1-8,PUBLIC_DOMAIN,None,True,PILOT_HIGH
Sergei Lyapunov,12 Études d'exécution transcendante,Op. 11,2,Ronde des Fantômes in D-sharp minor,Internet Archive / IMSLP,https://archive.org/details/imslp-tudes-dexcution-transcendante-op11-lyapunov-sergey,"https://archive.org/download/imslp-tudes-dexcution-transcendante-op11-lyapunov-sergey/Lyapunov_-_Etudes,_Op.11.pdf",J.H. Zimmermann,1898,Z. 3060,"Lyapunov_-_Etudes,_Op.11.pdf",1083b34ad2e8a972877d8f3da7458d265976ced42377ad33efe14ad11157beb0,17210082,9-20,PUBLIC_DOMAIN,None,True,PILOT_HIGH
Sergei Lyapunov,12 Études d'exécution transcendante,Op. 11,3,Carillon in B major,Internet Archive / IMSLP,https://archive.org/details/imslp-tudes-dexcution-transcendante-op11-lyapunov-sergey,"https://archive.org/download/imslp-tudes-dexcution-transcendante-op11-lyapunov-sergey/Lyapunov_-_Etudes,_Op.11.pdf",J.H. Zimmermann,1899,Z. 3060,"Lyapunov_-_Etudes,_Op.11.pdf",1083b34ad2e8a972877d8f3da7458d265976ced42377ad33efe14ad11157beb0,17210082,21-30,PUBLIC_DOMAIN,None,True,PILOT_HIGH
Anton Arensky,24 Morceaux caractéristiques,Op. 36,1,Prélude,Internet Archive / IMSLP,https://archive.org/details/imslp-morceaux-caractristiques-op36-arensky-anton,https://archive.org/download/imslp-morceaux-caractristiques-op36-arensky-anton/Arensky_morceaux_op36-1.pdf,P. Jurgenson,1894,"19599-19624 set range; movement-specific plate unverified",Arensky_morceaux_op36-1.pdf,d14e77d7af646671c7ddf267b0ba7bebd4f176a6b2fb6e3a7e9cce114919f855,1506575,"PDF 1-4 / printed 4-7",PUBLIC_DOMAIN,None,True,PILOT_HIGH
Anton Arensky,24 Morceaux caractéristiques,Op. 36,2,La toupie,Internet Archive / IMSLP,https://archive.org/details/imslp-morceaux-caractristiques-op36-arensky-anton,https://archive.org/download/imslp-morceaux-caractristiques-op36-arensky-anton/Arensky_morceaux_op36-1.pdf,P. Jurgenson,1894,"19599-19624 set range; movement-specific plate unverified",Arensky_morceaux_op36-1.pdf,d14e77d7af646671c7ddf267b0ba7bebd4f176a6b2fb6e3a7e9cce114919f855,1506575,"PDF 5-12 / printed 8-15",PUBLIC_DOMAIN,None,True,PILOT_HIGH
Anton Arensky,24 Morceaux caractéristiques,Op. 36,13,Étude,Internet Archive / IMSLP,https://archive.org/details/imslp-morceaux-caractristiques-op36-arensky-anton,https://archive.org/download/imslp-morceaux-caractristiques-op36-arensky-anton/Arensky_Morceaux_op.36_No.13-18.pdf,P. Jurgenson,1894,"19599-19624 set range; movement-specific plate unverified",Arensky_Morceaux_op.36_No.13-18.pdf,eaf21776599c1069a78cce881a518a40badb604b9061d4ff6d60537dcb3b87f5,2571253,"PDF 1-7 / printed 61-67",PUBLIC_DOMAIN,None,True,PILOT_HIGH
Anatoly Lyadov,Etude et 3 Preludes,Op. 40,2,Prelude in D minor,Internet Archive / University of Toronto,https://archive.org/details/31761108768078,https://archive.org/download/31761108768078/31761108768078.pdf,M.P. Belaieff / Muzgiz,1897,1450,31761108768078.pdf,8484f2d6e88df70001935921964ed6c805f3df069d02cd4d0cd466d8f6cdc8f5,3641671,1-3,PUBLIC_DOMAIN,None,True,PILOT_HIGH
Anatoly Lyadov,Etude et 3 Preludes,Op. 40,3,Prelude in B-flat major,Internet Archive / University of Toronto,https://archive.org/details/31761108768078,https://archive.org/download/31761108768078/31761108768078.pdf,M.P. Belaieff / Muzgiz,1897,1450,31761108768078.pdf,8484f2d6e88df70001935921964ed6c805f3df069d02cd4d0cd466d8f6cdc8f5,3641671,4-6,PUBLIC_DOMAIN,None,True,PILOT_HIGH
Anatoly Lyadov,4 Preludes,Op. 46,4,Prelude in E minor,Internet Archive / University of Toronto,https://archive.org/details/31761108768078,https://archive.org/download/31761108768078/31761108768078.pdf,M.P. Belaieff / Muzgiz,1899,2045,31761108768078.pdf,8484f2d6e88df70001935921964ed6c805f3df069d02cd4d0cd466d8f6cdc8f5,3641671,7-9,PUBLIC_DOMAIN,None,True,PILOT_HIGH
